report_year,report_week,district,disease,category,cases,source_pdf,uid
2018,50,Akola,Dengue,vector-borne,8,502018.pdf,MH/AKL/2018/50/1580
2018,50,Akola,Measles,air-borne,5,502018.pdf,MH/AKL/2018/50/1579
2018,50,Satara,Chikungunya,vector-borne,7,502018.pdf,MH/STA/2018/50/1591
2018,50,Satara,Dengue,vector-borne,64,502018.pdf,MH/STA/2018/50/1590
2019,2,Gadchiroli,Malaria,vector-borne,3,022019.pdf,MH/GAD/2019/02/051
2019,2,Nashik,Dengue,vector-borne,27,022019.pdf,MH/NAS/2019/02/064
2019,3,Ahilyanagar,Chickenpox,water-borne,10,032019.pdf,MH/AMN/2019/03/0075
2019,9,Kolhapur,Dengue,vector-borne,7,6589945201554276858.pdf,MH/KOP/2019/09/0220
2019,18,Sindhudurg,Kyasanur forest disease,vector-borne,1,7712669551559045817.pdf,MH/SIN/2019/18/0464
2019,22,Amravati,Chickenpox,air-borne,11,82640712431561703101.pdf,MH/AMR/2019/22/0575
2019,23,Palghar,Dengue,vector-borne,8,85360816881563359501.pdf,MH/ERN/2019/23/0626
2019,23,Raigad,Dengue,vector-borne,24,85360816881563359501.pdf,MH/ERN/2019/23/0627
2019,24,Sangli,Chikungunya,vector-borne,10,7691730161563359625.pdf,MH/SGL/2019/24/0688
2019,24,Sangli,Dengue,vector-borne,12,7691730161563359625.pdf,MH/SGL/2019/24/0687
2019,24,Sangli,Malaria,vector-borne,7,7691730161563359625.pdf,MH/SGL/2019/24/0646
2019,25,Kolhapur,Dengue,vector-borne,7,25756315101563359659.pdf,MH/KOP/2019/25/0725
2019,25,Satara,Dengue,vector-borne,6,25756315101563359659.pdf,MH/STA/2019/25/0726
2019,26,Raigad,Dengue,vector-borne,15,68942651301564989114.pdf,MH/RGD/2019/26/0747
2019,27,Beed,Chickenpox,air-borne,4,35559832711564989155.pdf,MH/BED/2019/27/0811
2019,29,Chandrapur,Malaria,vector-borne,23,45717479631566903502.pdf,MH/CND/2019/29/0875
2019,29,Kolhapur,Scrub typhus,vector-borne,4,45717479631566903502.pdf,MH/KOP/2019/29/0909
2019,29,Satara,Dengue,vector-borne,28,45717479631566903502.pdf,MH/STA/2019/29/0910
2019,29,Thane,Dengue,vector-borne,14,45717479631566903502.pdf,MH/THN/2019/29/0911
2019,34,Chandrapur,Malaria,vector-borne,83,29559503671572417006.pdf,MH/CND/2019/34/1075
2019,34,Kolhapur,Dengue,vector-borne,2,29559503671572417006.pdf,MH/KOP/2019/34/1056
2019,34,Satara,Dengue,vector-borne,15,29559503671572417006.pdf,MH/STA/2019/34/1076
2019,35,Ahilyanagar,Dengue,vector-borne,40,77063109021572417436.pdf,MH/AMN/2019/35/1090
